City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
407,Bandrele,YT,78.55,light rain,-12.9067,45.1914,Les Baobabs
410,Concepcion Del Oro,MX,79.25,clear sky,24.6333,-101.4167,Hotel Hacienda San Javier
411,Makakilo City,US,78.57,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
413,Gizo,SB,79.93,light rain,-8.103,156.8419,Imagination Island
414,Tutoia,BR,76.66,broken clouds,-2.7619,-42.2744,Pousada Guará's
415,Bonthe,SL,79.05,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
417,Sibolga,ID,75.06,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
419,Grand Gaube,MU,76.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
421,Puri,IN,81.12,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
424,Portobelo,PA,82.49,broken clouds,9.55,-79.65,Scuba Portobelo
435,Port Hueneme,US,79.2,few clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
440,Souillac,MU,75.58,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
441,Auki,SB,79.27,light rain,-8.7676,160.7034,Auki Motel
444,Nizwa,OM,75.78,clear sky,22.9333,57.5333,Orient Apartments
445,Samarai,PG,80.29,light rain,-10.6167,150.6667,Nuli Sapi
446,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
453,Voh,NC,82.13,broken clouds,-20.9667,164.7,Le gîte du Koniambo
459,Bhachau,IN,79.74,clear sky,23.2833,70.35,Amrut Bagh Resort
460,Grand Terrace,US,83.26,clear sky,34.0339,-117.3137,"Holiday Inn Express Colton-Riverside North, an IHG Hotel"
461,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
466,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
472,Fare,PF,81.48,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
473,Les Cayes,HT,80.47,few clouds,18.2,-73.75,Villa Orphee
475,Atar,MR,78.8,few clouds,20.5169,-13.0499,Oumou Elghoura
505,Mandera,KE,84.33,broken clouds,3.9366,41.867,Hiren Hotel Mandera
510,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
512,Sawakin,SD,76.14,clear sky,19.1059,37.3321,فندق الدويم
520,Ambunti,PG,76.08,light rain,-4.2365,142.8448,AMBUNTI HIDE INN
529,Cairns,AU,75.15,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
531,Burhar,IN,75.38,clear sky,23.2167,81.5333,REPL Camp
534,Arlit,NE,86.14,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
535,Ojinaga,MX,87.57,clear sky,29.5667,-104.4167,Suites Las Palmas
538,Catumbela,AO,76.68,light rain,-12.4314,13.5472,Hotel Do Kamgamba
539,Kadhan,PK,80.64,clear sky,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
544,Nagapattinam,IN,80.01,clear sky,10.7667,79.8333,Sathya Lodge
547,Aquiraz,BR,82.49,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
550,Ugoofaaru,MV,82.76,clear sky,5.6667,73.0,Ungoofaaru Inn
551,Minab,IR,76.57,clear sky,27.1467,57.0801,Bam campground
553,Santa Teresa,VE,84.16,broken clouds,10.2341,-66.6631,Funeraria Lira
563,Boyolangu,ID,75.97,overcast clouds,-8.1181,111.8935,Yos ega cv
573,Bhadrachalam,IN,79.47,clear sky,17.6667,80.8833,Hotel Srinidhi Residency
575,Diffa,NE,82.81,clear sky,13.3154,12.6113,ProDAF/Diffa
577,Neuquen,AR,78.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
578,Petatlan,MX,84.72,scattered clouds,17.5167,-101.2667,Hotel California Petatlán
579,Gopalpur,IN,78.21,clear sky,19.2667,84.9167,Gopalpur Palm Resort
585,Ahuimanu,US,79.75,light rain,21.4447,-157.8378,Paradise Bay Resort
587,Veraval,IN,76.69,clear sky,20.9,70.3667,Lords Inn Somnath
589,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
593,Grand-Lahou,CI,80.92,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
