City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Hasaki,JP,35.7333,140.8333,41.29,53,50,12.62,scattered clouds
337,Pires Do Rio,BR,-17.2997,-48.2794,76.01,59,49,4.16,scattered clouds
338,Jabinyanah,TN,35.035,10.9081,58.8,64,69,17.31,broken clouds
339,Jiaojiang,CN,28.6803,121.4428,44.51,86,95,6.44,overcast clouds
340,Yarovoye,RU,52.9273,78.58,29.41,90,38,9.01,scattered clouds
341,Sabang,ID,5.8933,95.3214,83.23,71,100,7.47,overcast clouds
342,Mason City,US,43.1536,-93.201,49.08,46,98,7.78,overcast clouds
343,Zinder,NE,13.8072,8.9881,81.0,7,0,8.34,clear sky
344,Jalor,IN,25.35,72.6167,79.45,16,0,6.96,clear sky
345,Kawalu,ID,-7.3817,108.2082,72.52,96,99,2.24,overcast clouds
